Hugo_Symbol	Entrez_Gene_Id	GrCh37_Isoform	GrCh37_RefSeq	GrCh38_Isoform	GrCh38_RefSeq	# of occurrence within resources (column d_J)	OncoKB_Annotated	Is_Oncogene	Is_Tumor_Suppressor_Gene	Msk_Impact	Msk_Heme	Foundation_One	Foundation_One_Heme	Vogelstein	Sanger_Cgc(05/30/2017)	Tier_CGC(v.92)	In_CGC(v.92)	Role_In_Cancer_CGC(v.92)	In_CIViC(08_21)	Description_CIViC(08_21)	Inclusion_Level
AXIN1	8312	ENST00000262320	NM_003502.3	ENST00000262320	NM_003502.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
BAP1	8314	ENST00000460680	NM_004656.3	ENST00000460680	NM_004656.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	BAP1 is a deubiquitylase thought to be a key regulator of many cancer-associated pathways. Germline alterations in BAP1 have been characterized as predisposing variants to familial melanocytic skin tumors. These alterations also have been linked to the development of mesothelioma, uveal melanoma, cutaneous melanoma and others. Clinically, the role of BAP1 is still being investigated. However, the development of intradermal tumors known as melanocytic BAP1-associated intradermal tumors (MBAITs) are enough for a patient to be subject to more intense surveillance to catch other malignancies as early as possible.	1.0
BCL2	596	ENST00000333681	NM_000633.2	ENST00000333681	NM_000633.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
BCOR	54880	ENST00000378444	NM_001123385.1	ENST00000378444	NM_001123385.1	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG, fusion	Yes		1.0
BRAF	673	ENST00000288602	NM_004333.4	ENST00000646891	NM_004333.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	BRAF mutations are found to be recurrent in many cancer types. Of these, the mutation of valine 600 to glutamic acid (V600E) is the most prevalent. V600E has been determined to be an activating mutation, and cells that harbor it, along with other V600 mutations are sensitive to the BRAF inhibitor dabrafenib. It is also common to use MEK inhibition as a substitute for BRAF inhibitors, and the MEK inhibitor trametinib has seen some success in BRAF mutant melanomas. BRAF mutations have also been correlated with poor prognosis in many cancer types, although there is at least one study that questions this conclusion in papillary thyroid cancer.  Oncogenic BRAF mutations are divided into three categories that determine their sensitivity to inhibitors. Class 1 BRAF mutations (V600) are RAS-independent, signal as monomers and are sensitive to current RAF monomer inhibitors. Class 2 BRAF mutations (K601E, K601N, K601T, L597Q, L597V, G469A, G469V, G469R, G464V, G464E, and fusions) are RAS-independent, signaling as constitutive dimers and are resistant to vemurafenib. Such mutants may be sensitive to novel RAF dimer inhibitors or MEK inhibitors. Class 3 BRAF mutations (D287H, V459L, G466V, G466E, G466A, S467L, G469E, N581S, N581I, D594N, D594G, D594A, D594H, F595L, G596D, and G596R) with low or absent kinase activity are RAS-dependent and they activate ERK by increasing their binding to activated RAS and wild-type CRAF. Class 3 BRAF mutations coexist with mutations in RAS or NF1 in melanoma may be treated with MEK inhibitors. In epithelial tumors such as CRC or NSCLC may be effectively treated with combinations that include inhibitors of receptor tyrosine kinase.	1.0
BRCA1	672	ENST00000357654	NM_007294.3	ENST00000357654	NM_007294.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	BRCA1 mutations in the germline have become a hallmark for hereditary breast and ovarian cancers. Variants that have been demonstrated to reduce the function of the protein have been shown to increase the risk for these cancers, as well as prostate and pancreatic cancer. These findings have been the impetus for the increased popularity of genetic testing of healthy individuals to assess risk. Recent studies in ovarian cancer have also demonstrated that BRCA mutation status can predict treatment response. A number of trials assessing BRCA mutation status have shown an improved response to platinum agents, and more recently has led to the FDA-approval of PARP inhibitors for BRCA-positive ovarian cancers. These studies have resulted in the Society of Gynecologic Oncology to recommend germline BRCA testing in all patients with a diagnosis of ovarian cancer.	1.0
BRCA2	675	ENST00000380152	NM_000059.3	ENST00000380152	NM_000059.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	BRCA2 mutations in the germline have become a hallmark for hereditary breast and ovarian cancers. Variants that have been demonstrated to reduce the function of the protein have been shown to increase the risk for these cancers, as well as prostate and pancreatic cancer. These findings have been the impetus for the increased popularity of genetic testing of healthy individuals to assess risk. Recent studies in ovarian cancer have also demonstrated that BRCA mutation status can predict treatment response. A number of trials assessing BRCA mutation status have shown an improved response to platinum agents, and more recently has led to the FDA-approval of PARP inhibitors for BRCA-positive ovarian cancers. These studies have resulted in the Society of Gynecologic Oncology to recommend germline BRCA testing in all patients with a diagnosis of ovarian cancer.	1.0
CARD11	84433	ENST00000396946	NM_032415.4	ENST00000396946	NM_032415.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
CBL	867	ENST00000264033	NM_005188.3	ENST00000264033	NM_005188.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
CDC73	79577	ENST00000367435	NM_024529.4	ENST00000367435	NM_024529.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
CDH1	999	ENST00000261769	NM_004360.3	ENST00000261769	NM_004360.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
CDKN2A	1029	ENST00000304494	NM_000077.4	ENST00000304494	NM_000077.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	CDKN2A loss has been shown to be a significant event in a number of cancer types. While no targeted therapeutic has been engaged in clinical trials, the prognostic impact has been studied by a number of meta-analyses. In majority of cases CDKN2A is inactivated by homozygous deletions. One of the mechanisms by which loss of CDKN2A can occur is by hypermethylation of the promoter region for the gene. However, the prognostic impact of promoter hypermethylation has been relatively ambiguous. Many studies have suggesting poorer prognostic outcome for patients with hypermethylation in colorectal, liver, and younger lung cancer patients. This being said, there is still research to be done before this becomes a widely-accepted prognostic indicator. Additionally, CDKN2A (p16) expression is a surrogate marker for HPV infection. As such, CDKN2A expression is prognostic in Oropharyngeal and probably also non-oropharyngeal head and neck squamous cell carcinomas.	1.0
CEBPA	1050	ENST00000498907	NM_004364.3	ENST00000498907	NM_004364.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	'AML with mutated CEBPA' is a provisional entity in the WHO classification of acute myeloid leukemia (AML) and is recommended to be tested for in patients with AML. CEBPA mutations are particularly associated with cytogenetically normal AML (CN-AML). CEBPA is an intronless gene that is required for granulocyte formation in mice. N-terminal nonsense mutations result in a dominant negative C/EBP-alpha protein while C-terminal mutations reduce the DNA-binding potential of this transcription factor. CEBPA mutations are associated with a favorable prognosis, however, NPM1 and FLT3 mutations should also be assessed in CN-AML patients as concurrent mutations may have prognostic implications.	1.0
CIC	23152	ENST00000575354	NM_015125.3	ENST00000575354	NM_015125.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
CREBBP	1387	ENST00000262367	NM_004380.2	ENST00000262367	NM_004380.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes		1.0
CTNNB1	1499	ENST00000349496	NM_001904.3	ENST00000349496	NM_001904.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes		1.0
DAXX	1616	ENST00000374542	NM_001141970.1	ENST00000266000	NM_001141970.1	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	No		1.0
DNMT3A	1788	ENST00000264709	NM_022552.4	ENST00000264709	NM_022552.4	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	DNMT3A is one of several epigenetic modifiers identified as recurrently mutated in acute myeloid leukemia (AML). DNMT3A mutations are associated with cytogenetically normal AML. In vitro experiments indicate that the R882H mutation acts in a dominant negative manner to disrupt the de novo methyltransferase activity of wildtype homotetramers. AML patient bone marrow harboring R882 mutations were similarly demonstrated to be hypomethylated compared to patients with wildtype DNMT3A. These studies also indicated that non-R882 DNMT3A mutations may act in a functionally distinct manner from R882 mutations. Alternative mechanisms indicate independent prognostic outcomes and treatment protocols may need to be considered for these two classes of DNMT3A mutations.	1.0
EGFR	1956	ENST00000275493	NM_005228.3	ENST00000275493	NM_005228.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	EGFR is widely recognized for its importance in cancer. Amplification and mutations have been shown to be driving events in many cancer types. Its role in non-small cell lung cancer, glioblastoma and basal-like breast cancers has spurred many research and drug development efforts. Tyrosine kinase inhibitors have shown efficacy in EGFR amplfied tumors, most notably gefitinib and erlotinib. Mutations in EGFR have been shown to confer resistance to these drugs, particularly the variant T790M, which has been functionally characterized as a resistance marker for both of these drugs. The later generation TKI's have seen some success in treating these resistant cases, and targeted sequencing of the EGFR locus has become a common practice in treatment of non-small cell lung cancer.  Overproduction of ligands is another possible mechanism of activation of EGFR. ERBB ligands include EGF, TGF-a, AREG, EPG, BTC, HB-EGF, EPR and NRG1-4 (for detailed information please refer to the respective ligand section).	1.0
EP300	2033	ENST00000263253	NM_001429.3	ENST00000263253	NM_001429.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG, fusion	Yes		1.0
ERBB2	2064	ENST00000269571	NM_004448.2	ENST00000269571	NM_004448.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	ERBB2, commonly referred to as HER2, is amplified and/or overexpressed in 20-30% of invasive breast carcinomas. HER2-positive breast cancer is treated in a separate manner from other subtypes of breast cancer and commonly presents as more aggressive disease. Metastatic HER2-positive breast cancer is now commonly treated with HER2-targeted therapy. Apart from being amplified/overexpressed, ERBB2 activating mutations have been shown to have clinical importance in HER2-negative breast cancer. These mutations have shown sensitivity to the tyrosine kinase inhibitor neratinib, and highlight the importance of clinical sequencing efforts in treating breast cancer.	1.0
EZH2	2146	ENST00000320356	NM_004456.4	ENST00000320356	NM_004456.4	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
FBXW7	55294	ENST00000281708	NM_033632.3	ENST00000281708	NM_033632.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
FGFR2	2263	ENST00000358487	NM_000141.4	ENST00000358487	NM_000141.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	The FGFR proteins are involved in a wide array of pathways known to play a signficant role in cancer. Activation of these receptors can lead to activation of the RAS-MAPK pathway and the PI3K-AKT pathway, among others. The mechanisms by which FGFR can be misregulated vary between cancers. Amplification of the receptors has been observed in lung and breast cancers, coding mutations and deletions have been seen in many cancers, and more recently, FGFR fusions that lead to pathway actiation have been demonstrated to have oncogenic potential across multiple cancer types. The targeted therapeutics ponatinib, dovitinib and pazopanib have seen success in treating over-active FGFR signalling, prompting use of diagnostic sequencing targeting the FGFR genes, especially in lung cancer patients.	1.0
FGFR3	2261	ENST00000260795	NM_000142.4	ENST00000440486	NM_000142.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	The FGFR proteins are involved in a wide array of pathways known to play a signficant role in cancer. Activation of these receptors can lead to activation of the RAS-MAPK pathway and the PI3K-AKT pathway, among others. The mechanisms by which FGFR can be misregulated vary between cancers. Amplification of the receptors has been observed in lung and breast cancers, coding mutations and deletions have been seen in many cancers, and more recently, FGFR fusions that lead to pathway actiation have been demonstrated to have oncogenic potential across multiple cancer types. The targeted therapeutics ponatinib, dovitinib and pazopanib have seen success in treating over-active FGFR signalling, prompting use of diagnostic sequencing targeting the FGFR genes, especially in lung cancer patients.	1.0
FLT3	2322	ENST00000241453	NM_004119.2	ENST00000241453	NM_004119.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	FLT3 is an important cytokine receptor involved in normal hematopoiesis. Mutations in this gene are common in acute myeloid leukemia (AML) and screening for mutations in this gene has been recommended by the World Health Organization in patients with AML, particularly in cases of cytogenetically normal AML (CN-AML). FLT3 mutations commonly co-occur with mutations such as NPM1 that are associated with CN-AML and likely modulate prognostic impact. While FLT3-ITD mutations have been associated with poorer prognosis in AML, the prognostic impact of FLT3-TKD mutations are still up for debate.	1.0
FOXL2	668	ENST00000330315	NM_023067.3	ENST00000648323	NM_023067.3	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
GATA3	2625	ENST00000346208	NM_002051.2	ENST00000346208	NM_002051.2	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	No		1.0
GNA11	2767	ENST00000078429	NM_002067.2	ENST00000078429	NM_002067.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
GNAQ	2776	ENST00000286548	NM_002072.3	ENST00000286548	NM_002072.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
GNAS	2778	ENST00000371085	NM_000516.4	ENST00000371085	NM_000516.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
HNF1A	6927	ENST00000257555	NM_000545.5	ENST00000257555	NM_000545.5	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
HRAS	3265	ENST00000451590	NM_005343.2	ENST00000451590	NM_005343.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
IDH1	3417	ENST00000345146	NM_005896.2	ENST00000345146	NM_005896.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	IDH1 mutations have been observed in a number of cancer types, including sarcomas, hematologic malignancies, colon cancer and brain cancer. Mutations in the two isocitrate dehydrogenase enzymes involved in cytoplasmic (IDH1) and mitochondrial (IDH2) conversion of alpha-ketoglutarate to D-2-hydroxyglutarate have been described as mutually exclusive in many of these cancer types. The most frequent mutations involve R132 (IDH1) and R172 (IDH2) involve the active site and result in neomorphic enzyme activity. The implications of mutations in this gene vary greatly by cancer type. In myelodysplastic syndromes and acute myeloid leukemia (AML), IDH1 mutations have been associated with worse outcome, shorter overall survival, and normal karyotype. However, in glioblastoma and astrocytoma, patients with IDH1 mutations have shown better overall survival than patients with wild-type IDH1. Unlike the association with cytogenetically normal AML, in glioblastoma, IDH1 mutations have been associated with specific cytogenetic abnormalities, 1p and 19q deletions.	1.0
IDH2	3418	ENST00000330062	NM_002168.2	ENST00000330062	NM_002168.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	IDH2 mutations have been observed in a number of cancer types, including sarcomas, hematologic malignancies, colon cancer and brain cancer. Mutations in the two isocitrate dehydrogenase enzymes involved in cytoplasmic (IDH1) and mitochondrial (IDH2) conversion of alpha-ketoglutarate to D-2-hydroxyglutarate have been described as mutually exclusive in many of these cancer types. The most frequent mutations involve R132 (IDH1) and R172 (IDH2) involve the active site and result in neomorphic enzyme activity. Although IDH2 (R172) mutations are associated with poorer overall prognosis in AML patients, its utility as a prognostic marker in MDS is still under debate. Additionally, IDH2 (R140) has been associated with improved overall survival in AML. IDH2 mutations have been associated with improved prognosis in gliomas.	1.0
JAK1	3716	ENST00000342505	NM_002227.2	ENST00000342505	NM_002227.2	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
JAK2	3717	ENST00000381652	NM_004972.3	ENST00000381652	NM_004972.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, fusion	Yes	JAK2 is a kinase that is misregulated or mutated in a number of myeloproliferative diseases and cancers. The mutation V617F is the most clinically relevant variant, and is seen in around half of myeloproliferative disorders. The variant is a known activating mutation, and activated JAK2 is sufficient to drive myeloproliferative disorders in mouse models. V617F, while most recurrent, is not the only mechanism by which JAK2 can be activated in patients. JAK2 is now one of the first diagnostic markers tested upon diagnosis with a myeloproliferative disorder.	1.0
JAK3	3718	ENST00000458235	NM_000215.3	ENST00000458235	NM_000215.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
KDM5C	8242	ENST00000375401	NM_004187.3	ENST00000375401	NM_004187.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
KDM6A	7403	ENST00000377967	NM_021140.2	ENST00000377967	NM_021140.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
KIT	3815	ENST00000288135	NM_000222.2	ENST00000288135	NM_000222.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	c-KIT activation has been shown to have oncogenic activity in gastrointestinal stromal tumors (GISTs), melanomas, lung cancer, and other tumor types. The targeted therapeutics nilotinib and sunitinib have shown efficacy in treating KIT overactive patients, and are in late-stage trials in melanoma and GIST. KIT overactivity can be the result of many genomic events from genomic amplification to overexpression to missense mutations. Missense mutations have been shown to be key players in mediating clinical response and acquired resistance in patients being treated with these targeted therapeutics.	1.0
KMT2D	8085	ENST00000301067	NM_003482.3	ENST00000301067	NM_003482.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
KRAS	3845	ENST00000311936	NM_004985.3	ENST00000311936	NM_004985.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	Mutations in the RAS family of proteins are frequently observed across cancer types. The amino acid positions that account for the overwhelming majority of these mutations are G12, G13 and Q61. The different protein isoforms, despite their raw similarity, also behave very differently when expressed in non-native tissue types, likely due to differences in the C-terminal hyper-variable regions. Mis-regulation of isoform expression has been shown to be a driving event in cancer, as well as missense mutations at the three hotspots previously mentioned. While highly recurrent in cancer, attempts to target these RAS mutants with inhibitors have not been successful, and has not yet become common practice in the clinic. The prognostic implications for KRAS mutations vary between cancer types, but have been shown to be associated with poor outcome in colorectal cancer, non-small cell lung cancer, and others.	1.0
MAP2K1	5604	ENST00000307102	NM_002755.3	ENST00000307102	NM_002755.3	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	MAP2K1 is a dual-specificity kinase known for it's involvement in the ERK pathway by activation of ERK1 and ERK2. MAP2K1 activating mutations have been observed in a number of cancers including ovarian,  melanoma and lung. These activating mutations are generally found in the N-terminal negative regulatory region or the ATP-binding region of the N-terminal lobe.  Inhibitors of MEK genes have been shown to inhibit tumor growth in these cases.	1.0
MAP3K1	4214	ENST00000399503	NM_005921.1	ENST00000399503	NM_005921.1	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	No		1.0
MED12	9968	ENST00000374080	NM_005120.2	ENST00000374080	NM_005120.2	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	No		1.0
MEN1	4221	ENST00000312049	NM_130799.2	ENST00000312049	NM_130799.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
MET	4233	ENST00000397752	NM_000245.2	ENST00000397752	NM_000245.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes	"Mesenchymal Epithelial Transition MET is a prototypical receptor tyrosine kinase. Its ligand is Hepatocyte Growth Factor (HGF). MET alterations are drivers of human cancer.  Amplification and resulting overexpression has been reported in several cancers, and make the receptor's activity independent of HGF. Gene fusions also decouple kinase activity from the cell membrane and render it constitutively active.  Finally, exclusion of the juxtamembrane (JM) domain of the kinase by ""skipping"" of exon 14 activates the kinase."	1.0
MLH1	4292	ENST00000231790	NM_000249.3	ENST00000231790	NM_000249.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes	MLH1 is a tumor suppressor gene involved in DNA mismatch repair. Germline mutations in this gene are known to cause Lynch syndrome. The most common malignancies in Lynch syndrome are colorectal and endometrial carcinomas. In addition to germline mutations, somatic mutations in this gene have been described in colorectal and endometrial cancers.	1.0
MPL	4352	ENST00000372470	NM_005373.2	ENST00000372470	NM_005373.2	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
MSH2	4436	ENST00000233146	NM_000251.2	ENST00000233146	NM_000251.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
MSH6	2956	ENST00000234420	NM_000179.2	ENST00000234420	NM_000179.2	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
MYD88	4615	ENST00000396334	NM_002468.4	ENST00000396334	NM_002468.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene	Yes		1.0
NF1	4763	ENST00000356175	NM_000267.3	ENST00000356175	NM_000267.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG, fusion	Yes		1.0
NF2	4771	ENST00000338641	NM_000268.3	ENST00000338641	NM_000268.3	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	TSG	Yes		1.0
NFE2L2	4780	ENST00000397062	NM_006164.4	ENST00000397062	NM_006164.4	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	Yes		1.0
NOTCH1	4851	ENST00000277541	NM_017617.3	ENST00000651671	NM_017617.3	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG, fusion	Yes	NOTCH1 is one of four known genes encoding the NOTCH family of proteins, a group of receptors involved in the Notch signaling pathway. NOTCH proteins are characterized by N-terminal EGF-like repeats followed by LNR domains which form a complex with ligands to prevent signaling. The Notch signaling pathway is involved in processes related to cell fate specification, differentiation, proliferation, and survival. Activation of Notch has been shown to be correlative with mammary tumorgenesis in mice and increased expression of Notch receptors has been observed in a variety of cancer types including cervical, colon, head and neck, lung, renal, pancreatic, leukemia, and breast cancer. A number of treatment modalities have been explored related to Notch inhibition especially in breast cancer with mixed results.	1.0
NOTCH2	4853	ENST00000256646	NM_024408.3	ENST00000256646	NM_024408.3	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	Yes	oncogene, TSG	No		1.0
